iter	Passed	Remaining
0	2	221
1	4	196
2	5	185
3	7	183
4	9	177
5	11	173
6	12	168
7	14	165
8	16	163
9	17	160
10	19	158
11	21	157
12	23	155
13	24	152
14	26	151
15	28	149
16	30	147
17	31	145
18	33	143
19	35	141
20	37	139
21	38	137
22	40	135
23	42	133
24	43	131
25	45	130
26	47	128
27	49	126
28	50	124
29	52	123
30	54	121
31	56	119
32	58	117
33	59	116
34	61	114
35	63	112
36	65	110
37	66	109
38	68	107
39	70	105
40	72	103
41	73	102
42	75	100
43	77	98
44	79	96
45	80	95
46	82	93
47	84	91
48	86	89
49	87	87
50	89	86
51	91	84
52	93	82
53	94	80
54	96	78
55	98	77
56	99	75
57	101	73
58	103	71
59	105	70
60	106	68
61	108	66
62	110	64
63	112	63
64	113	61
65	115	59
66	117	57
67	119	56
68	120	54
69	122	52
70	124	50
71	126	49
72	128	47
73	130	45
74	132	44
75	134	42
76	135	40
77	137	38
78	139	37
79	141	35
80	143	33
81	145	32
82	147	30
83	149	28
84	151	26
85	153	25
86	155	23
87	157	21
88	158	19
89	160	17
90	162	16
91	164	14
92	165	12
93	167	10
94	169	8
95	171	7
96	173	5
97	174	3
98	176	1
99	178	0
